# text	intent	autonomy	objective	drone_role	codegen_focus	intel_focus	mission_style
Operator directive 0010: start Hannibal precisely to synthesize mission scripts on segment 20.30.0.0/24 while using harvester drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	set_objective	contain	synthesize mission scripts	harvester	infra_automation	threat_hypothesis	resilient
Operator directive 0011: activate Hannibal strategically to improve english comprehension on segment 21.33.0.0/24 while using striker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	adjust_autonomy	enforce	improve english comprehension	striker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0012: deploy Hannibal carefully to map network on segment 22.36.0.0/24 while using watchdog drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	query_status	observe	map network	watchdog	python_payloads	host_discovery	stealth
Operator directive 0013: launch Hannibal rapidly to find credentials on segment 23.39.0.0/24 while using flanker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	pause_campaign	contain	find credentials	flanker	yaml_playbooks	credential_intel	aggressive
Operator directive 0014: dispatch Hannibal silently to identify domain controller on segment 24.42.0.0/24 while using coordinator drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	resume_campaign	enforce	identify domain controller	coordinator	typescript_operator_ui	network_topology	balanced
Operator directive 0015: initiate Hannibal adaptively to enumerate exposed services on segment 25.45.0.0/24 while using analyst drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	abort_campaign	observe	enumerate exposed services	analyst	rule_signatures	anomaly_correlation	deceptive
Operator directive 0016: start Hannibal precisely to secure mission corridor on segment 26.48.0.0/24 while using scout drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	deploy_agent	contain	secure mission corridor	scout	infra_automation	threat_hypothesis	resilient
Operator directive 0017: activate Hannibal strategically to collect telemetry baselines on segment 27.51.0.0/24 while using mapper drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	set_target	enforce	collect telemetry baselines	mapper	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0018: deploy Hannibal carefully to track lateral movement on segment 28.54.0.0/24 while using harvester drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	set_objective	observe	track lateral movement	harvester	python_payloads	host_discovery	stealth
Operator directive 0019: launch Hannibal rapidly to contain blast radius on segment 29.57.0.0/24 while using striker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	adjust_autonomy	contain	contain blast radius	striker	yaml_playbooks	credential_intel	aggressive
Operator directive 0020: dispatch Hannibal silently to build drone code modules on segment 30.60.0.0/24 while using watchdog drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	query_status	enforce	build drone code modules	watchdog	typescript_operator_ui	network_topology	balanced
Operator directive 0021: initiate Hannibal adaptively to generate payload templates on segment 31.63.0.0/24 while using flanker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	pause_campaign	observe	generate payload templates	flanker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0022: start Hannibal precisely to synthesize mission scripts on segment 32.66.0.0/24 while using coordinator drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	resume_campaign	contain	synthesize mission scripts	coordinator	infra_automation	threat_hypothesis	resilient
Operator directive 0023: activate Hannibal strategically to improve english comprehension on segment 33.69.0.0/24 while using analyst drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	abort_campaign	enforce	improve english comprehension	analyst	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0024: deploy Hannibal carefully to map network on segment 34.72.0.0/24 while using scout drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	deploy_agent	observe	map network	scout	python_payloads	host_discovery	stealth
Operator directive 0025: launch Hannibal rapidly to find credentials on segment 35.75.0.0/24 while using mapper drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	set_target	contain	find credentials	mapper	yaml_playbooks	credential_intel	aggressive
Operator directive 0026: dispatch Hannibal silently to identify domain controller on segment 36.78.0.0/24 while using harvester drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	set_objective	enforce	identify domain controller	harvester	typescript_operator_ui	network_topology	balanced
Operator directive 0027: initiate Hannibal adaptively to enumerate exposed services on segment 37.81.0.0/24 while using striker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	adjust_autonomy	observe	enumerate exposed services	striker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0028: start Hannibal precisely to secure mission corridor on segment 38.84.0.0/24 while using watchdog drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	query_status	contain	secure mission corridor	watchdog	infra_automation	threat_hypothesis	resilient
Operator directive 0029: activate Hannibal strategically to collect telemetry baselines on segment 39.87.0.0/24 while using flanker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	pause_campaign	enforce	collect telemetry baselines	flanker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0030: deploy Hannibal carefully to track lateral movement on segment 40.90.0.0/24 while using coordinator drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	resume_campaign	observe	track lateral movement	coordinator	python_payloads	host_discovery	stealth
Operator directive 0031: launch Hannibal rapidly to contain blast radius on segment 41.93.0.0/24 while using analyst drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	abort_campaign	contain	contain blast radius	analyst	yaml_playbooks	credential_intel	aggressive
Operator directive 0032: dispatch Hannibal silently to build drone code modules on segment 42.96.0.0/24 while using scout drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	deploy_agent	enforce	build drone code modules	scout	typescript_operator_ui	network_topology	balanced
Operator directive 0033: initiate Hannibal adaptively to generate payload templates on segment 43.99.0.0/24 while using mapper drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	set_target	observe	generate payload templates	mapper	rule_signatures	anomaly_correlation	deceptive
Operator directive 0034: start Hannibal precisely to synthesize mission scripts on segment 44.102.0.0/24 while using harvester drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	set_objective	contain	synthesize mission scripts	harvester	infra_automation	threat_hypothesis	resilient
Operator directive 0035: activate Hannibal strategically to improve english comprehension on segment 45.105.0.0/24 while using striker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	adjust_autonomy	enforce	improve english comprehension	striker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0036: deploy Hannibal carefully to map network on segment 46.108.0.0/24 while using watchdog drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	query_status	observe	map network	watchdog	python_payloads	host_discovery	stealth
Operator directive 0037: launch Hannibal rapidly to find credentials on segment 47.111.0.0/24 while using flanker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	pause_campaign	contain	find credentials	flanker	yaml_playbooks	credential_intel	aggressive
Operator directive 0038: dispatch Hannibal silently to identify domain controller on segment 48.114.0.0/24 while using coordinator drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	resume_campaign	enforce	identify domain controller	coordinator	typescript_operator_ui	network_topology	balanced
Operator directive 0039: initiate Hannibal adaptively to enumerate exposed services on segment 49.117.0.0/24 while using analyst drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	abort_campaign	observe	enumerate exposed services	analyst	rule_signatures	anomaly_correlation	deceptive
Operator directive 0040: start Hannibal precisely to secure mission corridor on segment 10.120.0.0/24 while using scout drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	deploy_agent	contain	secure mission corridor	scout	infra_automation	threat_hypothesis	resilient
Operator directive 0041: activate Hannibal strategically to collect telemetry baselines on segment 11.123.0.0/24 while using mapper drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	set_target	enforce	collect telemetry baselines	mapper	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0042: deploy Hannibal carefully to track lateral movement on segment 12.126.0.0/24 while using harvester drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	set_objective	observe	track lateral movement	harvester	python_payloads	host_discovery	stealth
Operator directive 0043: launch Hannibal rapidly to contain blast radius on segment 13.129.0.0/24 while using striker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	adjust_autonomy	contain	contain blast radius	striker	yaml_playbooks	credential_intel	aggressive
Operator directive 0044: dispatch Hannibal silently to build drone code modules on segment 14.132.0.0/24 while using watchdog drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	query_status	enforce	build drone code modules	watchdog	typescript_operator_ui	network_topology	balanced
Operator directive 0045: initiate Hannibal adaptively to generate payload templates on segment 15.135.0.0/24 while using flanker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	pause_campaign	observe	generate payload templates	flanker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0046: start Hannibal precisely to synthesize mission scripts on segment 16.138.0.0/24 while using coordinator drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	resume_campaign	contain	synthesize mission scripts	coordinator	infra_automation	threat_hypothesis	resilient
Operator directive 0047: activate Hannibal strategically to improve english comprehension on segment 17.141.0.0/24 while using analyst drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	abort_campaign	enforce	improve english comprehension	analyst	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0048: deploy Hannibal carefully to map network on segment 18.144.0.0/24 while using scout drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	deploy_agent	observe	map network	scout	python_payloads	host_discovery	stealth
Operator directive 0049: launch Hannibal rapidly to find credentials on segment 19.147.0.0/24 while using mapper drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	set_target	contain	find credentials	mapper	yaml_playbooks	credential_intel	aggressive
Operator directive 0050: dispatch Hannibal silently to identify domain controller on segment 20.150.0.0/24 while using harvester drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	set_objective	enforce	identify domain controller	harvester	typescript_operator_ui	network_topology	balanced
Operator directive 0051: initiate Hannibal adaptively to enumerate exposed services on segment 21.153.0.0/24 while using striker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	adjust_autonomy	observe	enumerate exposed services	striker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0052: start Hannibal precisely to secure mission corridor on segment 22.156.0.0/24 while using watchdog drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	query_status	contain	secure mission corridor	watchdog	infra_automation	threat_hypothesis	resilient
Operator directive 0053: activate Hannibal strategically to collect telemetry baselines on segment 23.159.0.0/24 while using flanker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	pause_campaign	enforce	collect telemetry baselines	flanker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0054: deploy Hannibal carefully to track lateral movement on segment 24.162.0.0/24 while using coordinator drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	resume_campaign	observe	track lateral movement	coordinator	python_payloads	host_discovery	stealth
Operator directive 0055: launch Hannibal rapidly to contain blast radius on segment 25.165.0.0/24 while using analyst drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	abort_campaign	contain	contain blast radius	analyst	yaml_playbooks	credential_intel	aggressive
Operator directive 0056: dispatch Hannibal silently to build drone code modules on segment 26.168.0.0/24 while using scout drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	deploy_agent	enforce	build drone code modules	scout	typescript_operator_ui	network_topology	balanced
Operator directive 0057: initiate Hannibal adaptively to generate payload templates on segment 27.171.0.0/24 while using mapper drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	set_target	observe	generate payload templates	mapper	rule_signatures	anomaly_correlation	deceptive
Operator directive 0058: start Hannibal precisely to synthesize mission scripts on segment 28.174.0.0/24 while using harvester drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	set_objective	contain	synthesize mission scripts	harvester	infra_automation	threat_hypothesis	resilient
Operator directive 0059: activate Hannibal strategically to improve english comprehension on segment 29.177.0.0/24 while using striker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	adjust_autonomy	enforce	improve english comprehension	striker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0060: deploy Hannibal carefully to map network on segment 30.180.0.0/24 while using watchdog drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	query_status	observe	map network	watchdog	python_payloads	host_discovery	stealth
Operator directive 0061: launch Hannibal rapidly to find credentials on segment 31.183.0.0/24 while using flanker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	pause_campaign	contain	find credentials	flanker	yaml_playbooks	credential_intel	aggressive
Operator directive 0062: dispatch Hannibal silently to identify domain controller on segment 32.186.0.0/24 while using coordinator drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	resume_campaign	enforce	identify domain controller	coordinator	typescript_operator_ui	network_topology	balanced
Operator directive 0063: initiate Hannibal adaptively to enumerate exposed services on segment 33.189.0.0/24 while using analyst drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	abort_campaign	observe	enumerate exposed services	analyst	rule_signatures	anomaly_correlation	deceptive
Operator directive 0064: start Hannibal precisely to secure mission corridor on segment 34.192.0.0/24 while using scout drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	deploy_agent	contain	secure mission corridor	scout	infra_automation	threat_hypothesis	resilient
Operator directive 0065: activate Hannibal strategically to collect telemetry baselines on segment 35.195.0.0/24 while using mapper drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	set_target	enforce	collect telemetry baselines	mapper	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0066: deploy Hannibal carefully to track lateral movement on segment 36.198.0.0/24 while using harvester drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	set_objective	observe	track lateral movement	harvester	python_payloads	host_discovery	stealth
Operator directive 0067: launch Hannibal rapidly to contain blast radius on segment 37.201.0.0/24 while using striker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	adjust_autonomy	contain	contain blast radius	striker	yaml_playbooks	credential_intel	aggressive
Operator directive 0068: dispatch Hannibal silently to build drone code modules on segment 38.204.0.0/24 while using watchdog drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	query_status	enforce	build drone code modules	watchdog	typescript_operator_ui	network_topology	balanced
Operator directive 0069: initiate Hannibal adaptively to generate payload templates on segment 39.207.0.0/24 while using flanker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	pause_campaign	observe	generate payload templates	flanker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0070: start Hannibal precisely to synthesize mission scripts on segment 40.210.0.0/24 while using coordinator drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	resume_campaign	contain	synthesize mission scripts	coordinator	infra_automation	threat_hypothesis	resilient
Operator directive 0071: activate Hannibal strategically to improve english comprehension on segment 41.213.0.0/24 while using analyst drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	abort_campaign	enforce	improve english comprehension	analyst	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0072: deploy Hannibal carefully to map network on segment 42.216.0.0/24 while using scout drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	deploy_agent	observe	map network	scout	python_payloads	host_discovery	stealth
Operator directive 0073: launch Hannibal rapidly to find credentials on segment 43.219.0.0/24 while using mapper drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	set_target	contain	find credentials	mapper	yaml_playbooks	credential_intel	aggressive
Operator directive 0074: dispatch Hannibal silently to identify domain controller on segment 44.222.0.0/24 while using harvester drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	set_objective	enforce	identify domain controller	harvester	typescript_operator_ui	network_topology	balanced
Operator directive 0075: initiate Hannibal adaptively to enumerate exposed services on segment 45.225.0.0/24 while using striker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	adjust_autonomy	observe	enumerate exposed services	striker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0076: start Hannibal precisely to secure mission corridor on segment 46.228.0.0/24 while using watchdog drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	query_status	contain	secure mission corridor	watchdog	infra_automation	threat_hypothesis	resilient
Operator directive 0077: activate Hannibal strategically to collect telemetry baselines on segment 47.231.0.0/24 while using flanker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	pause_campaign	enforce	collect telemetry baselines	flanker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0078: deploy Hannibal carefully to track lateral movement on segment 48.234.0.0/24 while using coordinator drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	resume_campaign	observe	track lateral movement	coordinator	python_payloads	host_discovery	stealth
Operator directive 0079: launch Hannibal rapidly to contain blast radius on segment 49.237.0.0/24 while using analyst drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	abort_campaign	contain	contain blast radius	analyst	yaml_playbooks	credential_intel	aggressive
Operator directive 0080: dispatch Hannibal silently to build drone code modules on segment 10.240.0.0/24 while using scout drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	deploy_agent	enforce	build drone code modules	scout	typescript_operator_ui	network_topology	balanced
Operator directive 0081: initiate Hannibal adaptively to generate payload templates on segment 11.243.0.0/24 while using mapper drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	set_target	observe	generate payload templates	mapper	rule_signatures	anomaly_correlation	deceptive
Operator directive 0082: start Hannibal precisely to synthesize mission scripts on segment 12.246.0.0/24 while using harvester drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	set_objective	contain	synthesize mission scripts	harvester	infra_automation	threat_hypothesis	resilient
Operator directive 0083: activate Hannibal strategically to improve english comprehension on segment 13.249.0.0/24 while using striker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	adjust_autonomy	enforce	improve english comprehension	striker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0084: deploy Hannibal carefully to map network on segment 14.252.0.0/24 while using watchdog drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	query_status	observe	map network	watchdog	python_payloads	host_discovery	stealth
Operator directive 0085: launch Hannibal rapidly to find credentials on segment 15.0.0.0/24 while using flanker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	pause_campaign	contain	find credentials	flanker	yaml_playbooks	credential_intel	aggressive
Operator directive 0086: dispatch Hannibal silently to identify domain controller on segment 16.3.0.0/24 while using coordinator drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	resume_campaign	enforce	identify domain controller	coordinator	typescript_operator_ui	network_topology	balanced
Operator directive 0087: initiate Hannibal adaptively to enumerate exposed services on segment 17.6.0.0/24 while using analyst drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	abort_campaign	observe	enumerate exposed services	analyst	rule_signatures	anomaly_correlation	deceptive
Operator directive 0088: start Hannibal precisely to secure mission corridor on segment 18.9.0.0/24 while using scout drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	deploy_agent	contain	secure mission corridor	scout	infra_automation	threat_hypothesis	resilient
Operator directive 0089: activate Hannibal strategically to collect telemetry baselines on segment 19.12.0.0/24 while using mapper drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	set_target	enforce	collect telemetry baselines	mapper	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0090: deploy Hannibal carefully to track lateral movement on segment 20.15.0.0/24 while using harvester drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	set_objective	observe	track lateral movement	harvester	python_payloads	host_discovery	stealth
Operator directive 0091: launch Hannibal rapidly to contain blast radius on segment 21.18.0.0/24 while using striker drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	adjust_autonomy	contain	contain blast radius	striker	yaml_playbooks	credential_intel	aggressive
Operator directive 0092: dispatch Hannibal silently to build drone code modules on segment 22.21.0.0/24 while using watchdog drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	query_status	enforce	build drone code modules	watchdog	typescript_operator_ui	network_topology	balanced
Operator directive 0093: initiate Hannibal adaptively to generate payload templates on segment 23.24.0.0/24 while using flanker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	pause_campaign	observe	generate payload templates	flanker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0094: start Hannibal precisely to synthesize mission scripts on segment 24.27.0.0/24 while using coordinator drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	resume_campaign	contain	synthesize mission scripts	coordinator	infra_automation	threat_hypothesis	resilient
Operator directive 0095: activate Hannibal strategically to improve english comprehension on segment 25.30.0.0/24 while using analyst drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	abort_campaign	enforce	improve english comprehension	analyst	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0096: deploy Hannibal carefully to map network on segment 26.33.0.0/24 while using scout drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	deploy_agent	observe	map network	scout	python_payloads	host_discovery	stealth
Operator directive 0097: launch Hannibal rapidly to find credentials on segment 27.36.0.0/24 while using mapper drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	set_target	contain	find credentials	mapper	yaml_playbooks	credential_intel	aggressive
Operator directive 0098: dispatch Hannibal silently to identify domain controller on segment 28.39.0.0/24 while using harvester drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	set_objective	enforce	identify domain controller	harvester	typescript_operator_ui	network_topology	balanced
Operator directive 0099: initiate Hannibal adaptively to enumerate exposed services on segment 29.42.0.0/24 while using striker drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	adjust_autonomy	observe	enumerate exposed services	striker	rule_signatures	anomaly_correlation	deceptive
Operator directive 0100: start Hannibal precisely to secure mission corridor on segment 30.45.0.0/24 while using watchdog drones with contain autonomy, prioritize threat_hypothesis, and generate infra_automation artifacts for mission style resilient.	query_status	contain	secure mission corridor	watchdog	infra_automation	threat_hypothesis	resilient
Operator directive 0101: activate Hannibal strategically to collect telemetry baselines on segment 31.48.0.0/24 while using flanker drones with enforce autonomy, prioritize mission_forensics, and generate ai_prompt_chains artifacts for mission style adaptive.	pause_campaign	enforce	collect telemetry baselines	flanker	ai_prompt_chains	mission_forensics	adaptive
Operator directive 0102: deploy Hannibal carefully to track lateral movement on segment 32.51.0.0/24 while using coordinator drones with observe autonomy, prioritize host_discovery, and generate python_payloads artifacts for mission style stealth.	resume_campaign	observe	track lateral movement	coordinator	python_payloads	host_discovery	stealth
Operator directive 0103: launch Hannibal rapidly to contain blast radius on segment 33.54.0.0/24 while using analyst drones with contain autonomy, prioritize credential_intel, and generate yaml_playbooks artifacts for mission style aggressive.	abort_campaign	contain	contain blast radius	analyst	yaml_playbooks	credential_intel	aggressive
Operator directive 0104: dispatch Hannibal silently to build drone code modules on segment 34.57.0.0/24 while using scout drones with enforce autonomy, prioritize network_topology, and generate typescript_operator_ui artifacts for mission style balanced.	deploy_agent	enforce	build drone code modules	scout	typescript_operator_ui	network_topology	balanced
Operator directive 0105: initiate Hannibal adaptively to generate payload templates on segment 35.60.0.0/24 while using mapper drones with observe autonomy, prioritize anomaly_correlation, and generate rule_signatures artifacts for mission style deceptive.	set_target	observe	generate payload templates	mapper	rule_signatures	anomaly_correlation	deceptive
